date,sentiment,
,price

2020-3-3,0.20
,3003.370117

2020-3-4,-0.26
,2488.649902

2020-3-6,-0.08
,3122.870117

2020-3-8,0.22
,3294.610107

2020-3-9,0.45
,3455.060059

2020-4-3,-0.03
,3130.120117

2020-4-5,-0.26
,2842.73999

2020-4-6,-0.31
,3112.350098

2020-4-8,0.11
,3306.51001

2020-4-9,0.05
,3426.959961

2020-5-3,0.29
,3023.939941

2020-5-5,0.38
,2868.439941

2020-5-6,0.03
,3193.929932

2020-5-8,0.25
,3327.77002

2020-5-10,0.43
,3408.600098

2020-6-3,-0.23
,2972.370117

2020-6-4,0.07
,2663.679932

2020-6-5,0.37
,2848.419922

2020-6-7,0.11
,3179.719971

2020-6-8,-0.09
,3349.159912

2020-6-10,0.40
,3360.969971

2020-7-4,0.35
,2659.409912

2020-7-5,1.00
,2881.189941

2020-7-7,0.70
,3145.320068

2020-7-8,0.45
,3351.280029

2020-7-10,0.40
,3419.439941

2020-8-4,-0.25
,2749.97998

2020-8-5,-0.17
,2929.800049

2020-8-6,0.11
,3232.389893

2020-8-7,0.31
,3169.939941

2020-8-9,0.57
,3331.840088

2020-8-10,0.16
,3446.830078

2020-9-3,-0.05
,2746.560059

2020-9-4,0.97
,2789.820068

2020-9-6,-1.00
,3207.179932

2020-9-7,-0.17
,3152.050049

2020-9-9,0.27
,3398.959961

2020-9-10,0.43
,3477.139893

2020-10-3,0.32
,2882.22998

2020-10-6,0.17
,3190.139893

2020-10-7,0.10
,3185.040039

2020-10-8,0.63
,3360.469971

2020-10-9,0.47
,3339.189941

